sex,gender,race,ethnicity,approved,income,credit_score,transaction_count,debt_ratio,account_balance,loan_amount,audit_log,explanation,timestamp
Female,Male,Asian,Hispanic,1,90159.63029636382,642.2048882599673,417,0.6892218310001289,15749.564698970149,19795.104159206887,No,Medium,2023-01-01
Female,Male,Black,Hispanic,0,75003.84380632557,697.0148261205062,105,0.7660390777547604,22973.213308114784,24792.4484860381,Yes,High,2023-01-02
Female,Male,Hispanic,Non-Hispanic,0,72078.14628255027,798.3008154134698,13,0.4237073970078351,29060.34317613431,18185.65958616057,Yes,High,2023-01-03
Male,Male,White,Non-Hispanic,0,72541.42465784741,836.0777344189622,348,0.09234909297065919,23413.21149050245,34085.64610320557,Yes,Medium,2023-01-04
Male,Male,Black,Hispanic,0,77586.89181579262,779.0543453706475,285,0.3948345705741878,3752.5129076347416,28163.943458291782,Yes,Medium,2023-01-05
Female,Male,White,Hispanic,0,74371.71822514336,794.8431049345712,464,0.3720559265625719,33429.49913673057,21881.685886561787,Yes,High,2023-01-06
Male,Male,Black,Non-Hispanic,1,74111.05369380496,656.7582188531818,333,0.4522443002651372,37342.63982402736,48934.618305999225,No,Low,2023-01-07
Female,Male,White,Hispanic,0,75735.81853238422,718.4167812701081,102,0.06874147080040294,5429.744211035807,28373.393597676306,Yes,High,2023-01-08
Female,Male,Hispanic,Hispanic,0,64314.68542587044,827.0777489132236,254,0.23448659260745275,9803.33190397166,10459.806286433186,Yes,High,2023-01-09
Male,Female,Asian,Non-Hispanic,0,75480.59233852987,609.9441145985478,436,0.17105672865092447,9018.494474993639,28198.79871166897,Yes,Medium,2023-01-10
Male,Female,Black,Hispanic,1,74806.44931977225,794.4326480006432,88,0.018793120513145856,47495.49135646362,38670.38788551473,Yes,High,2023-01-11
Male,Female,Asian,Non-Hispanic,0,69839.65969402049,766.5264548197547,478,0.7015508724073671,41477.442614866966,29745.846713042883,Yes,High,2023-01-12
Female,Male,Asian,Hispanic,0,70683.11064391854,785.353954140802,319,0.29721051174857804,29146.43946482755,15982.660945863274,Yes,High,2023-01-13
Male,Male,White,Hispanic,1,76574.12337510855,764.7745700419885,165,0.9802922473457789,9767.80745528304,13742.663054924436,Yes,High,2023-01-14
Male,Female,White,Non-Hispanic,0,66540.526009453,811.0431782720242,12,0.01999490446086416,33362.16787963659,44186.70619215688,Yes,High,2023-01-15
Female,Female,White,Non-Hispanic,0,75324.24838130316,716.0077880554823,489,0.708833444783757,11218.3552866573,8893.054309379837,Yes,Medium,2023-01-16
Female,Male,Black,Non-Hispanic,0,63385.55463494509,631.9998584666615,340,0.8483194922383571,34253.818500251116,9086.517023732906,Yes,High,2023-01-17
Female,Male,Black,Hispanic,1,77842.12317086465,651.0541314760046,485,0.9681027646644962,25465.69225640368,21015.978103143985,Yes,High,2023-01-18
Male,Female,Black,Non-Hispanic,1,61300.10104336745,823.3608635660249,36,0.3910853069172998,14335.679949840463,10571.294886373711,Yes,High,2023-01-19
Male,Male,Black,Hispanic,1,56313.02429071168,748.295323018539,10,0.6753721595440617,28357.61344358312,24049.65473406865,Yes,High,2023-01-20
Male,Male,Asian,Non-Hispanic,1,67709.57301952424,767.7430056226744,181,0.848233435500337,42566.42976644986,11354.002024365978,Yes,High,2023-01-21
Male,Female,Black,Non-Hispanic,0,76971.45206724181,697.3479075499883,360,0.1739683095483664,34630.92017201442,28188.499346344997,No,High,2023-01-22
Female,Male,Black,Hispanic,1,93258.54307497767,828.3107464466955,451,0.21475327006862832,40021.6303138941,13388.835043427036,Yes,High,2023-01-23
Female,Female,Hispanic,Hispanic,0,75649.15810704212,688.3181544403168,205,0.1504549250199767,19780.474325472595,43784.95355422963,Yes,High,2023-01-24
Male,Male,White,Hispanic,0,87312.15566355769,608.406969790457,362,0.0062871398294012115,26061.558241527913,8695.896506900872,Yes,High,2023-01-25
Female,Male,Asian,Non-Hispanic,1,61892.270905573336,604.2843990070538,190,0.10303025288793677,16160.972361740425,35016.06757667038,Yes,High,2023-01-26
Male,Female,Hispanic,Hispanic,0,68335.77804939379,801.0737365998972,69,0.3608869647053702,49389.36454830342,12012.30576187814,Yes,Medium,2023-01-27
